operation,name,alias,area,kmlPath,description,city,street,zipCode,latitude,longitude,info,countryId,regionId,subRegionId
CREATE,"ТОВ ""Трипільський Мисливець""",tov-trypillian-hunter,49400,batch/grounds/kyiv/1-tov-tripilskij-mislivec.kml,"Полювання в 45км від Києва - це мисливське господарство «Трипільське мисливець». На території в 50 тисяч гектар проводиться колективне та індивідуальне полювання на трофейного кабана і європейську козулю,полювання на польову і водоплавну дичину,на хутрових звірів. Натаска собак на кабана у вольєрі. На території «Трипільського мисливця» розташований мисливський будиночок зі зручностями,кухнею і обіднім залом.",м. Кагарлик,вул. Лісова 2,,49.875233,30.837870,,1,9,25
CREATE,"ПП ""Соколине полісся""",sokolyne-polissya,11800,batch/grounds/kyiv/2-pp-sokoline-polissya.kml,,,,,,,,1,9,
CREATE,"Дочірнє підприємство ""Бориспільське районне мисливсько-рибальське господарство Київського об'єднання Київської обласної ради УТМР""",boryspilske-rayonne-myslyvsko-rybalske-hospodarstvo,44518,batch/grounds/kyiv/3-dp-borispilske-rajonne-mislivsko-ribalske-gospodarstvo.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Мисливський та спортивний клуб ""КАМПА-1""",kampa-1,8123,batch/grounds/kyiv/4-tov-mislivskij-ta-sportivnij-klub-kampa-1.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Мисливський та спортивний клуб ""КАМПА-2""",kampa-2,22562,batch/grounds/kyiv/5-tov-mislivskij-ta-sportivnij-klub-kampa-2.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Сафарі-Авангард""",safari-avanhard,6180.5,batch/grounds/kyiv/6-tov-safari-avangard.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Гран - Мисливство""",hran-myslyvstvo,26530.9,batch/grounds/kyiv/7-tov-gran-mislivstvo.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Мисливсько-рибальський клуб ""Відродження""",vidrodzhennya,3200,batch/grounds/kyiv/8-tov-mislivsko-ribalskij-klub-vidrodzhennya.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Ржищівське мисливське господарство""",rzhyshchivske-myslyvske-hospodarstvo,44800,batch/grounds/kyiv/9-tov-rzhishivske-mislivske-gospodarstvo.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Поле-Вовк""",pole-vovk,19348,batch/grounds/kyiv/10-tov-pole-vovk.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Оксамит-Сервіс""",oksamyt-servis,20000,batch/grounds/kyiv/11-tov-oksamit-servis.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Українські лови""",ukrayinski-lovy,20750,batch/grounds/kyiv/12-tov-ukrayinski-lovi.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Ю 2""",yu-2,9815.6,batch/grounds/kyiv/13-tov-yu-2.kml,,,,,,,,1,9,
CREATE,"ТОВ ""Мисливсько-рибальський клуб ""Дружба""",druzhba,19796,batch/grounds/kyiv/14-tov-mislivsko-ribalskij-klub-druzhba.kml,,,,,,,,1,9,
